timestamp,AX_raw,AY_raw,AZ_raw,GX_raw,GY_raw,GZ_raw,MX_raw,MY_raw,MZ_raw
1770405555.826567,247,6,-2982,-3,0,0,163,24,2444
1770405555.925732,247,7,-2982,-6,0,0,163,24,2444
1770405556.025975,246,6,-2982,-4,0,0,164,23,2446
1770405556.146933,247,6,-2981,-4,0,0,164,24,2444
1770405556.225958,247,7,-2983,-6,0,1,163,25,2445
1770405556.426148,247,6,-2982,-6,0,0,163,25,2444
1770405556.526247,247,6,-2982,-5,0,0,163,23,2445
1770405556.626445,247,5,-2983,-4,0,0,163,24,2445
1770405556.726534,247,7,-2983,-5,0,1,164,24,2448
1770405556.826584,247,5,-2983,-4,0,0,163,25,2444
1770405556.926565,247,7,-2983,-7,0,0,163,24,2445
1770405557.026769,247,7,-2983,-4,0,0,163,24,2445
1770405557.167868,248,6,-2983,-5,0,0,163,23,2442
1770405557.226926,247,5,-2981,-6,0,0,163,24,2444
1770405557.327028,248,5,-2983,-5,0,0,164,25,2446
1770405557.427086,246,7,-2982,-4,0,1,163,24,2443
1770405557.527109,247,6,-2983,-5,0,0,163,24,2443
1770405557.627265,247,6,-2984,-4,0,0,163,23,2447
1770405557.727237,247,6,-2984,-5,0,0,163,24,2444
1770405557.827420,247,5,-2981,-5,0,0,163,24,2445
1770405557.927418,247,6,-2983,-6,0,0,163,25,2444
1770405558.027480,246,6,-2983,-6,0,0,163,23,2445
1770405558.128704,248,7,-2983,-3,0,0,163,23,2446
1770405558.227763,248,6,-2984,-2,-1,0,163,24,2444
1770405558.327613,249,5,-2980,-6,0,0,163,25,2443
1770405558.427518,247,6,-2982,-11,2,0,163,25,2445
1770405558.527675,247,6,-2981,-3,0,0,163,24,2444
1770405558.627661,246,7,-2983,-3,0,0,163,23,2444
1770405558.727877,248,7,-2982,-8,1,0,163,23,2444
1770405558.928040,246,7,-2984,-4,0,0,163,24,2445
1770405559.028169,246,7,-2983,-6,0,0,163,23,2445
1770405559.148617,247,6,-2983,-4,0,0,163,23,2444
1770405559.228297,248,6,-2984,-5,0,1,163,23,2445
1770405559.328485,247,7,-2983,-6,0,0,163,24,2443
1770405559.428487,247,7,-2985,-3,0,1,163,23,2443
